index,sequence_id,segment_id_sequence_start,segment_id_sequence_end,summary,title,segment_start_timestamp,segment_end_timestamp,segment_start_timestamp_in_seconds,segment_end_timestamp_in_seconds,video_id,activity_type,activity_reasoning,target_person_type,target_person_reasoning,activity,Moment_url
vi6TBTdOQ3bkW2b7ku6xtvbK_Delegation_1,1,13,21,"Bill suggests Kanishka's sister talk to Carol about accounting, indicating Carol's availability and qualifications, thus delegating the task of connecting them.",Delegating Accounting Connection,13:16.768,15:09.884,796,909,vi6TBTdOQ3bkW2b7ku6xtvbK,Not Delegation,Kanishka Rao is discussing potential contacts and options but is not delegating a task or receiving a delegated task.,No Delegation,Kanishka Rao is discussing potential contacts and options but is not delegating a task or receiving a delegated task.,Delegation,https://embed.api.video/vod/vi6TBTdOQ3bkW2b7ku6xtvbK#;t=796
vi6TBTdOQ3bkW2b7ku6xtvbK_Delegation_2,2,41,45,"Kanishka expresses a desire to skip a meeting, and Bill agrees, indicating that Kanishka can take the lead on the discussion, thus delegating the responsibility.",Delegating Meeting Responsibility,22:12.556,22:28.186,1332,1348,vi6TBTdOQ3bkW2b7ku6xtvbK,Receiving Delegation,"Kanishka Rao is being delegated a task as he expresses a desire to receive information by stating 'Because I could give it to you right now.' and indicates he would prefer to miss the meeting, suggesting he is taking on the responsibility.",Receiving,"Kanishka Rao is being delegated a task as he expresses a desire to receive information by stating 'Because I could give it to you right now.' and indicates he would prefer to miss the meeting, suggesting he is taking on the responsibility.",Delegation,https://embed.api.video/vod/vi6TBTdOQ3bkW2b7ku6xtvbK#;t=1332
vi6TBTdOQ3bkW2b7ku6xtvbK_Delegation_3,3,66,69,"Kanishka asks Bill to take point on determining the population for metrics, indicating a transfer of responsibility for this decision.",Delegating Metrics Population Decision,31:23.322,32:15.470,1883,1935,vi6TBTdOQ3bkW2b7ku6xtvbK,Task Assignment,"Kanishka Rao is delegating the task of determining the population by asking Bill Landi, 'Can you take point on that?' which assigns a specific responsibility.",Delegating,"Kanishka Rao is delegating the task of determining the population to Bill Landi by asking, 'Can you take point on that?'",Delegation,https://embed.api.video/vod/vi6TBTdOQ3bkW2b7ku6xtvbK#;t=1883
vi6TBTdOQ3bkW2b7ku6xtvbK_Delegation_4,4,112,113,"Kanishka identifies the need for help with accountability and transparency, indicating a delegation of these responsibilities to Bill.",Delegating Accountability and Transparency,47:26.229,47:27.009,2846,2847,vi6TBTdOQ3bkW2b7ku6xtvbK,Receiving Delegation,"Kanishka Rao expresses a need for help on a task, indicating he is receiving a delegated responsibility from someone else.",Receiving,"Kanishka Rao indicates a need for help on a task, suggesting he is receiving a delegated task from someone else.",Delegation,https://embed.api.video/vod/vi6TBTdOQ3bkW2b7ku6xtvbK#;t=2846
vi6TBTdOQ3bkW2b7ku6xtvbK_Delegation_5,5,182,184,"Kanishka discusses hiring a chief of staff to help with executive responsibilities, indicating a delegation of tasks to this potential new hire.",Delegating Executive Responsibilities,01:16:56.346,01:17:32.916,4616,4652,vi6TBTdOQ3bkW2b7ku6xtvbK,Not Delegation,Kanishka Rao is discussing their responsibilities and challenges but is not delegating a task or receiving a delegated task.,Not Involved,Kanishka Rao is discussing their responsibilities and challenges but is not delegating a task or receiving a delegated task.,Delegation,https://embed.api.video/vod/vi6TBTdOQ3bkW2b7ku6xtvbK#;t=4616
vi6TBTdOQ3bkW2b7ku6xtvbK_Decision Making_1,1,39,55,"Bill outlines the need for a consistent metrics solution that serves multiple stakeholders, emphasizing the importance of aligning metrics for sales and internal evaluations. Kanishka agrees on the significance of baseline comparisons and expresses support for Bill's approach.",Aligning Metrics for Stakeholders,21:36.186,26:54.400,1296,1614,vi6TBTdOQ3bkW2b7ku6xtvbK,Framing and Context Setting,"Bill Landi is explaining the need for a consistent metrics solution and the importance of baseline data in measuring impacts, which helps the team understand the scope of the decision.",Participating,"Kanishka Rao is actively contributing to the discussion by asking questions, providing input on metrics, and discussing the importance of baseline data, which influences the decision-making process.",Decision Making,https://embed.api.video/vod/vi6TBTdOQ3bkW2b7ku6xtvbK#;t=1296
vi6TBTdOQ3bkW2b7ku6xtvbK_Decision Making_2,2,66,70,"Kanishka delegates the responsibility of determining the population for metrics calculations to Bill, who agrees to propose a solution for Kanishka's approval, ensuring stakeholder alignment.",Delegating Metrics Population Decision,31:23.322,32:20.240,1883,1940,vi6TBTdOQ3bkW2b7ku6xtvbK,Decision Ownership,"Kanishka Rao is indicating that someone needs to take responsibility for deciding on the population to use, suggesting that Bill Landi should take point on that decision.",Participating,Kanishka Rao is actively contributing by suggesting that someone needs to make a decision on the population to use and is engaging in the discussion about who should take point on that decision.,Decision Making,https://embed.api.video/vod/vi6TBTdOQ3bkW2b7ku6xtvbK#;t=1883
vi6TBTdOQ3bkW2b7ku6xtvbK_Decision Making_3,3,122,126,"Kanishka emphasizes the need for transparency in decision-making and accountability among the leadership team, suggesting that key decisions and strategies should be shared to avoid misalignment.",Enhancing Transparency in Leadership,53:49.850,58:10.538,3229,3490,vi6TBTdOQ3bkW2b7ku6xtvbK,Problem or Opportunity Identification,"Bill Landi identifies a significant issue regarding transparency and alignment within the team, suggesting that the lack of clarity on goals has been a major problem over the past few months.",Participating,"Kanishka Rao is actively contributing to the discussion by sharing his thoughts on ownership, decision-making, and the relationship between transparency and alignment, influencing the decision-making process.",Decision Making,https://embed.api.video/vod/vi6TBTdOQ3bkW2b7ku6xtvbK#;t=3229
vi6TBTdOQ3bkW2b7ku6xtvbK_Decision Making_4,4,158,184,"Kanishka discusses the need for a chief of staff to help manage executive responsibilities, indicating a desire to delegate tasks and improve efficiency within the organization.",Need for Chief of Staff,01:09:55.220,01:17:32.916,4195,4652,vi6TBTdOQ3bkW2b7ku6xtvbK,Discussion and Input Gathering,"Kanishka Rao and Bill Landi are discussing potential candidates for the COO role, evaluating their qualifications and the implications of hiring decisions, which involves gathering input and perspectives from each other.",Participating,Kanishka Rao is actively contributing to the discussion by providing insights on potential candidates for the COO role and discussing the implications of hiring decisions.,Decision Making,https://embed.api.video/vod/vi6TBTdOQ3bkW2b7ku6xtvbK#;t=4195
vi6TBTdOQ3bkW2b7ku6xtvbK_Decision Making_5,5,220,222,"Kanishka expresses concern over his father's sporadic ownership of projects, indicating a need for more consistent leadership and accountability in decision-making processes.",Addressing Leadership Accountability,01:28:55.622,01:29:30.118,5335,5370,vi6TBTdOQ3bkW2b7ku6xtvbK,Discussion and Input Gathering,"Kanishka Rao and Bill Landi are discussing the issues of ownership and responsibility, seeking to understand the challenges faced in project management and gathering input on the situation.",Participating,Kanishka Rao is actively discussing the ownership issues and contributing to the decision-making process regarding responsibilities.,Decision Making,https://embed.api.video/vod/vi6TBTdOQ3bkW2b7ku6xtvbK#;t=5335
vi42vP3lFwcaZP6hH82M5wZE_Delegation_1,1,50,50,"Kanishka asks Soham to review a COPD dashboard and provide feedback, indicating delegation of the task to Soham.",Review of COPD Dashboard,16:33.363,16:32.903,993,992,vi42vP3lFwcaZP6hH82M5wZE,Guidance with Delegation,"Kanishka Rao is delegating a task by asking someone to take a quick look at the COPD dashboard and provide comments, while also offering guidance on what to focus on, indicating a clear assignment of responsibility along with support.",Delegating,"Kanishka Rao is delegating a task by asking someone to take a quick look at the COPD dashboard and provide comments, indicating a clear assignment of responsibility.",Delegation,https://embed.api.video/vod/vi42vP3lFwcaZP6hH82M5wZE#;t=993
vi42vP3lFwcaZP6hH82M5wZE_Delegation_2,2,46,46,"Kanishka identifies Rick Bone as a potential buyer for their solution, suggesting Soham to reach out to him, indicating delegation of outreach responsibility.",Identifying Potential Buyer,15:27.683,15:24.973,927,924,vi42vP3lFwcaZP6hH82M5wZE,Not Delegation,Kanishka Rao is discussing a potential candidate but is not delegating a task or receiving a delegated task.,Not Involved,Kanishka Rao is discussing a potential candidate but is not delegating a task or receiving a delegated task.,Delegation,https://embed.api.video/vod/vi42vP3lFwcaZP6hH82M5wZE#;t=927
vi42vP3lFwcaZP6hH82M5wZE_Delegation_3,3,63,63,"Soham suggests Kanishka to pitch their solution as a chronic disease management platform, indicating a shift in strategy and delegation of the pitch approach.",Pitching Strategy for Chronic Diseases,21:37.333,21:34.673,1297,1294,vi42vP3lFwcaZP6hH82M5wZE,Not Delegation,The conversation is focused on pitching ideas related to chronic diseases and does not involve Kanishka Rao or any delegation of tasks.,Not Involved,"Kanishka Rao is not mentioned in the interaction, indicating no involvement.",Delegation,https://embed.api.video/vod/vi42vP3lFwcaZP6hH82M5wZE#;t=1297
vi42vP3lFwcaZP6hH82M5wZE_Delegation_4,4,75,75,"Soham advises Kanishka on how to frame their solution for potential partners, indicating delegation of the messaging strategy.",Framing the Solution for Partners,23:38.513,23:28.813,1418,1408,vi42vP3lFwcaZP6hH82M5wZE,Not Delegation,"The conversation is focused on discussing a pulmonary disease management solution and seeking partners, with no delegation or assignment of tasks involved.",Not Involved,Kanishka Rao is not mentioned in the interaction and does not participate in the discussion.,Delegation,https://embed.api.video/vod/vi42vP3lFwcaZP6hH82M5wZE#;t=1418
vi42vP3lFwcaZP6hH82M5wZE_Delegation_5,5,24,24,"Soham discusses the importance of access and coverage teams in pre-launch drug marketing, suggesting Kanishka to consider these roles in their strategy, indicating delegation of strategic considerations.",Strategic Considerations for Drug Marketing,09:25.406,09:24.226,565,564,vi42vP3lFwcaZP6hH82M5wZE,Not Delegation,"Kanishka Rao is not mentioned in the interaction, and there is no indication of delegation occurring.",Not Involved,"Kanishka Rao is not mentioned in the interaction, and there is no indication of delegation occurring.",Delegation,https://embed.api.video/vod/vi42vP3lFwcaZP6hH82M5wZE#;t=565
vi42vP3lFwcaZP6hH82M5wZE_Decision Making_1,1,1,1,"Kanishka discusses the importance of securing funding for care diagnostics in the 2025 budget, emphasizing its impact on revenue and future strategy.",Funding for Care Diagnostics,02:21.760,02:20.620,141,140,vi42vP3lFwcaZP6hH82M5wZE,Framing and Context Setting,"Kanishka Rao is explaining the strategy and financial implications of a proposal, providing context about the importance of securing funding and how it aligns with their goals for revenue and fundraising.",Participating,"Kanishka Rao is actively discussing the strategy and financial implications of a proposal, contributing to the decision-making process.",Decision Making,https://embed.api.video/vod/vi42vP3lFwcaZP6hH82M5wZE#;t=141
vi42vP3lFwcaZP6hH82M5wZE_Decision Making_2,2,30,50,"The team evaluates the economic buyer for their COPD solution, discussing the necessary stakeholders and the importance of addressing readmission penalties.",Identifying Economic Buyer for COPD,11:11.806,16:32.903,671,992,vi42vP3lFwcaZP6hH82M5wZE,Problem or Opportunity Identification,"Soham Shah identifies the challenge of managing COPD readmissions and the associated costs, emphasizing the need for compliance with medication and care coordination.",Participating,"Kanishka Rao is actively contributing to the decision-making process by asking questions, providing insights, and suggesting actions related to the COPD solution.",Decision Making,https://embed.api.video/vod/vi42vP3lFwcaZP6hH82M5wZE#;t=671
vi42vP3lFwcaZP6hH82M5wZE_Decision Making_3,3,54,75,"Kanishka and Soham strategize on how to pitch their solution to health systems, focusing on the broader vision of chronic disease management.",Pitching Chronic Disease Management,18:50.286,23:28.813,1130,1408,vi42vP3lFwcaZP6hH82M5wZE,Discussion and Input Gathering,"Kanishka Rao and Soham Shah are actively discussing how to approach potential partners, sharing ideas on pitching strategies and the importance of framing their solution, which indicates a collaborative effort to gather input and refine their approach.",Participating,"Kanishka Rao is actively engaged in the discussion, asking questions, and providing input on how to approach potential partners, which indicates involvement in the decision-making process.",Decision Making,https://embed.api.video/vod/vi42vP3lFwcaZP6hH82M5wZE#;t=1130
vi4flB6clm0iow6IFTbC7emI_Feedback_1,1,101,105,"Kanishka expresses concern about the lack of frequent meetings to push decision-making and transparency in work streams, suggesting that waiting for all variables before making decisions is counterproductive.",Need for Improved Decision-Making,50:16.116,55:13.940,3016,3313,vi4flB6clm0iow6IFTbC7emI,Guidance,"Kanishka Rao is providing guidance by suggesting that others should involve more people in their decision-making processes, stating 'you should be running those decisions and thoughts by people,' which indicates a direction for improvement.",Giving Feedback,"Kanishka Rao is the primary person giving feedback in this case because they articulate their concerns and suggestions regarding decision-making processes and the need for more collaboration, stating 'you should be running those decisions and thoughts by people' which indicates they are providing guidance and feedback to others.",Feedback,https://embed.api.video/vod/vi4flB6clm0iow6IFTbC7emI#;t=3016
vi4flB6clm0iow6IFTbC7emI_Feedback_2,2,102,110,Bill agrees with Kanishka's point about the need for effective standing meetings and emphasizes the importance of socializing decisions to ensure team involvement and transparency.,Enhancing Team Transparency,52:11.036,01:01:10.166,3131,3670,vi4flB6clm0iow6IFTbC7emI,Constructive Feedback,"Kanishka Rao is providing feedback by expressing concerns about the decision-making process and suggesting improvements for better communication and collaboration within the team. He articulates specific issues and offers actionable suggestions, indicating a desire for constructive change.",Giving Feedback,"Kanishka Rao is giving feedback primarily by expressing his thoughts on the decision-making process and the need for better communication and collaboration within the team. He articulates specific concerns and suggestions, indicating he is actively providing input to improve the situation.",Feedback,https://embed.api.video/vod/vi4flB6clm0iow6IFTbC7emI#;t=3131
vi4flB6clm0iow6IFTbC7emI_Feedback_3,3,111,115,"Kanishka highlights the importance of involving team members in decision-making processes, especially when expertise varies, to foster better outcomes.",Involving Team in Decisions,01:01:37.916,01:04:13.966,3697,3853,vi4flB6clm0iow6IFTbC7emI,Constructive Feedback,Kanishka Rao is providing constructive feedback by stating 'you've got to involve us more in your process' which indicates a specific suggestion for improvement regarding collaboration.,Giving Feedback,"Kanishka Rao is giving feedback in this case because they express a need for someone to involve others more in their process, stating 'you've got to involve us more in your process' which indicates they are providing constructive feedback.",Feedback,https://embed.api.video/vod/vi4flB6clm0iow6IFTbC7emI#;t=3697
vi4flB6clm0iow6IFTbC7emI_Feedback_4,4,118,128,"Bill suggests focusing on metrics and decision-making processes to improve team collaboration and socialization of decisions, indicating a willingness to be open to feedback.",Focus on Metrics and Collaboration,01:05:18.185,01:08:21.226,3918,4101,vi4flB6clm0iow6IFTbC7emI,Constructive Feedback,"Kanishka Rao is providing constructive feedback by discussing how to approach giving feedback to Sriram and emphasizing the importance of visibility and team problem-solving, indicating specific areas for improvement.",Giving Feedback,"Kanishka Rao is giving feedback in this case as they express their thoughts on how to approach giving feedback to Sriram and others, stating 'it's definitely easier feedback to give Sriram than the rest of them' and discussing the importance of visibility and team problem-solving.",Feedback,https://embed.api.video/vod/vi4flB6clm0iow6IFTbC7emI#;t=3918
vi4flB6clm0iow6IFTbC7emI_Feedback_5,5,129,132,Kanishka and Bill conclude their discussion by agreeing to further explore the topic of decision-making and how to improve team dynamics in future meetings.,Future Discussions on Team Dynamics,01:08:26.826,01:09:21.779,4106,4161,vi4flB6clm0iow6IFTbC7emI,Guidance,"Kanishka Rao is providing guidance to Bill Landi by clarifying that he can assume the feedback is pseudo criticism unless stated otherwise, which helps Bill understand the nature of the feedback he might receive.",Receiving Feedback,"Kanishka Rao is receiving feedback from Bill Landi, as Bill expresses his willingness to accept criticism and seeks clarity on the nature of the feedback he might receive. Kanishka's response indicates he is acknowledging Bill's concerns rather than providing feedback.",Feedback,https://embed.api.video/vod/vi4flB6clm0iow6IFTbC7emI#;t=4106
vi4jzbO8E3eWXzvCGz7XNI0w_Feedback_1,1,1,3,"Bharat discusses the importance of standardizing recording practices and expresses concerns about data privacy, prompting feedback from Kanishka about his own usage of transcription tools.",Discussion on Recording Practices,00:48.376,01:23.990,48,83,vi4jzbO8E3eWXzvCGz7XNI0w,Not Feedback,Kanishka Rao is not involved in the interaction as he is merely stating his intention to try something for a couple of weeks without providing or receiving feedback.,Not Involved,Kanishka Rao is not involved in the interaction as he is merely stating his intention to try something for a couple of weeks without providing or receiving feedback.,Feedback,https://embed.api.video/vod/vi4jzbO8E3eWXzvCGz7XNI0w#;t=48
vi4jzbO8E3eWXzvCGz7XNI0w_Feedback_2,2,8,17,"Bharat shares a public information piece related to a colleague's departure, eliciting reactions from Kanishka and Sriram, indicating a shared concern and need for communication.",Sharing Sensitive Information,02:36.510,03:27.870,156,207,vi4jzbO8E3eWXzvCGz7XNI0w,Not Feedback,"Kanishka Rao is primarily reacting to the conversation and does not provide any feedback or guidance, as he is not involved in the main discussion.",Not Involved,Kanishka Rao is not involved in the interaction as he is primarily reacting to what Bharat Rao is saying and does not provide any feedback or guidance.,Feedback,https://embed.api.video/vod/vi4jzbO8E3eWXzvCGz7XNI0w#;t=156
vi6TBTdOQ3bkW2b7ku6xtvbK_Feedback_1,1,39,55,"Bill discusses the need for a metric solution that serves multiple stakeholders, emphasizing the importance of consistency in data collection and analysis. Kanishka provides input on the significance of baseline data for measuring impacts, indicating a collaborative effort to align their metrics strategy.",Aligning Metrics Strategy,21:36.186,26:54.400,1296,1614,vi6TBTdOQ3bkW2b7ku6xtvbK,Guidance,"Bill Landi is providing Kanishka Rao with guidance on how to approach the metrics and data analysis, asking for Kanishka's input and perspective, which indicates a supportive direction for improvement.",Receiving Feedback,"Kanishka Rao is primarily receiving feedback in this case as Bill Landi is providing input and asking for Kanishka's perspective on the metrics and data analysis, indicating that Kanishka is in a position to receive guidance and suggestions.",Feedback,https://embed.api.video/vod/vi6TBTdOQ3bkW2b7ku6xtvbK#;t=1296
vi6TBTdOQ3bkW2b7ku6xtvbK_Feedback_2,2,60,66,"Kanishka expresses the need for a clear definition of the population to be used for metrics, while Bill agrees to propose a definition for approval. This exchange highlights their collaborative approach to establishing a metrics framework.",Defining Metrics Population,28:13.980,31:23.164,1693,1883,vi6TBTdOQ3bkW2b7ku6xtvbK,Request,"Kanishka Rao is asking Bill Landi to take responsibility for deciding on the population to use, which aligns with making a request for action.",Giving Feedback,"Kanishka Rao is giving feedback by suggesting that someone needs to make a decision on the population to use, indicating a directive and a request for action, which aligns with providing guidance.",Feedback,https://embed.api.video/vod/vi6TBTdOQ3bkW2b7ku6xtvbK#;t=1693
vi6TBTdOQ3bkW2b7ku6xtvbK_Feedback_3,3,72,78,"Kanishka and Bill discuss the importance of transparency in their metrics process, with Kanishka emphasizing the need for clarity on key decisions and strategies. Bill acknowledges the need for better alignment and communication within the team.",Enhancing Transparency,33:27.460,34:55.350,2007,2095,vi6TBTdOQ3bkW2b7ku6xtvbK,Not Feedback,Kanishka Rao is not the primary person giving or receiving feedback in this interaction. The conversation primarily involves Bill Landi discussing outreach and Kanishka Rao providing input without being the main actor in feedback.,Not Involved,Kanishka Rao is not the primary person giving or receiving feedback in this interaction. The conversation primarily involves Bill Landi discussing outreach and Kanishka Rao providing input without being the main actor in feedback.,Feedback,https://embed.api.video/vod/vi6TBTdOQ3bkW2b7ku6xtvbK#;t=2007
vi6TBTdOQ3bkW2b7ku6xtvbK_Feedback_4,4,123,125,"Kanishka and Bill reflect on the challenges of aligning goals within the team, recognizing that a lack of shared understanding has led to misalignment in their objectives. They agree on the importance of defining success criteria collectively.",Aligning Team Goals,55:38.720,57:50.580,3338,3470,vi6TBTdOQ3bkW2b7ku6xtvbK,Constructive Feedback,"Bill Landi is providing Kanishka Rao with constructive feedback by discussing the issues of transparency and alignment, suggesting that the main problem lies in goal alignment rather than just transparency, which Kanishka is in a position to consider and respond to.",Receiving Feedback,"Kanishka Rao is receiving feedback in this case as Bill Landi is discussing the issues of transparency and alignment, and Kanishka is responding to Bill's points, indicating he is in a position to receive feedback on the situation.",Feedback,https://embed.api.video/vod/vi6TBTdOQ3bkW2b7ku6xtvbK#;t=3338
vi6TBTdOQ3bkW2b7ku6xtvbK_Feedback_5,5,220,222,"Kanishka expresses concerns about his father's sporadic ownership of projects, indicating a need for more consistent leadership. Bill agrees, noting that while there are areas of improvement, the overall performance is acceptable but not exceptional.",Addressing Leadership Consistency,01:28:55.622,01:29:30.118,5335,5370,vi6TBTdOQ3bkW2b7ku6xtvbK,Critical Feedback,"Kanishka Rao is pointing out the lack of ownership and commitment from another individual, indicating problematic behavior in their approach to tasks.",Giving Feedback,"Kanishka Rao is providing feedback about someone's lack of ownership and commitment to tasks, indicating that he is the primary actor in this interaction.",Feedback,https://embed.api.video/vod/vi6TBTdOQ3bkW2b7ku6xtvbK#;t=5335
vi42vP3lFwcaZP6hH82M5wZE_Feedback_1,1,4,12,"Soham provides feedback on Kanishka's PMPM model suggestion, emphasizing the need for a minimum contract value to ensure financial stability even if a customer is lost.",Feedback on PMPM Model,02:40.680,04:40.823,160,280,vi42vP3lFwcaZP6hH82M5wZE,Guidance,"Soham Shah is providing Kanishka Rao with guidance on setting a minimum contract value and a minimum increase, indicating actionable advice for Kanishka's consideration.",Receiving Feedback,"Kanishka Rao is receiving feedback from Soham Shah, who is suggesting a minimum contract value and a minimum increase, indicating that Kanishka is the recipient of the guidance.",Feedback,https://embed.api.video/vod/vi42vP3lFwcaZP6hH82M5wZE#;t=160
vi42vP3lFwcaZP6hH82M5wZE_Feedback_2,2,30,36,"Soham and Kanishka discuss the applicability of their current solution to COPD, with Soham affirming that the solution is mostly suitable but highlights the differences in readmission challenges.",Applicability to COPD,11:11.806,12:48.958,671,768,vi42vP3lFwcaZP6hH82M5wZE,Guidance,"Kanishka Rao is seeking clarification and direction from Scott and Soham regarding the applicability of the solution to COPD, indicating he is looking for their insights to help understand the situation better.",Receiving Feedback,"Kanishka Rao is primarily receiving feedback in this case as he is asking questions and seeking clarification from Scott and Soham about their thoughts on the solution's applicability to COPD, indicating he is looking for input rather than providing it.",Feedback,https://embed.api.video/vod/vi42vP3lFwcaZP6hH82M5wZE#;t=671
