id,sequence_id,segment_id_sequence_start,segment_id_sequence_end,summary,title,segment_start_timestamp,segment_end_timestamp,segment_start_timestamp_in_seconds,segment_end_timestamp_in_seconds,video_id,activity_type,activity_reasoning,target_person_type,target_person_reasoning,activity,Moment_url
vi42vP3lFwcaZP6hH82M5wZE_Decision Making_2,2,30,50,"""The team evaluates the economic buyer for their COPD solution, discussing the necessary stakeholders and the importance of addressing readmission penalties.""",Identifying Economic Buyer for COPD,11:11.806,16:32.903,671,992,vi42vP3lFwcaZP6hH82M5wZE,Problem or Opportunity Identification,"""Soham Shah identifies the challenge of managing COPD readmissions and the associated costs, emphasizing the need for compliance with medication and care coordination.""",Participating,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Decision Making,https://embed.api.video/vod/vi42vP3lFwcaZP6hH82M5wZE#;t=671
vi42vP3lFwcaZP6hH82M5wZE_Decision Making_3,3,54,75,"""Kanishka and Soham strategize on how to pitch their solution to health systems, focusing on the broader vision of chronic disease management.""",Pitching Chronic Disease Management,18:50.286,23:28.813,1130,1408,vi42vP3lFwcaZP6hH82M5wZE,Discussion and Input Gathering,"""Kanishka Rao and Soham Shah are actively discussing how to approach potential partners, sharing ideas on pitching strategies and the importance of framing their solution, which indicates a collaborative effort to gather input and refine their approach.""",Participating,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Decision Making,https://embed.api.video/vod/vi42vP3lFwcaZP6hH82M5wZE#;t=1130
vi4flB6clm0iow6IFTbC7emI_Feedback_1,1,101,105,"""Kanishka expresses concern about the lack of frequent meetings to push decision-making and transparency in work streams, suggesting that waiting for all variables before making decisions is counterproductive.""",Need for Improved Decision-Making,50:16.116,55:13.940,3016,3313,vi4flB6clm0iow6IFTbC7emI,Guidance,"""Kanishka Rao is providing guidance by suggesting that others should involve more people in their decision-making processes, stating 'you should be running those decisions and thoughts by people,' which indicates a direction for improvement.""",Giving Feedback,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Feedback,https://embed.api.video/vod/vi4flB6clm0iow6IFTbC7emI#;t=3016
vi4flB6clm0iow6IFTbC7emI_Feedback_2,2,102,110,"""Bill agrees with Kanishka's point about the need for effective standing meetings and emphasizes the importance of socializing decisions to ensure team involvement and transparency.""",Enhancing Team Transparency,52:11.036,01:01:10.166,3131,3670,vi4flB6clm0iow6IFTbC7emI,Constructive Feedback,"""Kanishka Rao is providing feedback by expressing concerns about the decision-making process and suggesting improvements for better communication and collaboration within the team. He articulates specific issues and offers actionable suggestions, indicating a desire for constructive change.""",Giving Feedback,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Feedback,https://embed.api.video/vod/vi4flB6clm0iow6IFTbC7emI#;t=3131
vi4flB6clm0iow6IFTbC7emI_Feedback_3,3,111,115,"""Kanishka highlights the importance of involving team members in decision-making processes, especially when expertise varies, to foster better outcomes.""",Involving Team in Decisions,01:01:37.916,01:04:13.966,3697,3853,vi4flB6clm0iow6IFTbC7emI,Constructive Feedback,"""Kanishka Rao is providing constructive feedback by stating 'you've got to involve us more in your process' which indicates a specific suggestion for improvement regarding collaboration.""",Giving Feedback,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Feedback,https://embed.api.video/vod/vi4flB6clm0iow6IFTbC7emI#;t=3697
vi4flB6clm0iow6IFTbC7emI_Feedback_4,4,118,128,"""Bill suggests focusing on metrics and decision-making processes to improve team collaboration and socialization of decisions, indicating a willingness to be open to feedback.""",Focus on Metrics and Collaboration,01:05:18.185,01:08:21.226,3918,4101,vi4flB6clm0iow6IFTbC7emI,Constructive Feedback,"""Kanishka Rao is providing constructive feedback by discussing how to approach giving feedback to Sriram and emphasizing the importance of visibility and team problem-solving, indicating specific areas for improvement.""",Giving Feedback,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Feedback,https://embed.api.video/vod/vi4flB6clm0iow6IFTbC7emI#;t=3918
vi4flB6clm0iow6IFTbC7emI_Feedback_5,5,129,132,"""Kanishka and Bill conclude their discussion by agreeing to further explore the topic of decision-making and how to improve team dynamics in future meetings.""",Future Discussions on Team Dynamics,01:08:26.826,01:09:21.779,4106,4161,vi4flB6clm0iow6IFTbC7emI,Guidance,"""Kanishka Rao is providing guidance to Bill Landi by clarifying that he can assume the feedback is pseudo criticism unless stated otherwise, which helps Bill understand the nature of the feedback he might receive.""",Receiving Feedback,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Feedback,https://embed.api.video/vod/vi4flB6clm0iow6IFTbC7emI#;t=4106
vi6TBTdOQ3bkW2b7ku6xtvbK_Feedback_1,1,39,55,"""Bill discusses the need for a metric solution that serves multiple stakeholders, emphasizing the importance of consistency in data collection and analysis. Kanishka provides input on the significance of baseline data for measuring impacts, indicating a collaborative effort to align their metrics strategy.""",Aligning Metrics Strategy,21:36.186,26:54.400,1296,1614,vi6TBTdOQ3bkW2b7ku6xtvbK,Guidance,"""Bill Landi is providing Kanishka Rao with guidance on how to approach the metrics and data analysis, asking for Kanishka's input and perspective, which indicates a supportive direction for improvement.""",Receiving Feedback,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Feedback,https://embed.api.video/vod/vi6TBTdOQ3bkW2b7ku6xtvbK#;t=1296
vi6TBTdOQ3bkW2b7ku6xtvbK_Feedback_2,2,60,66,"""Kanishka expresses the need for a clear definition of the population to be used for metrics, while Bill agrees to propose a definition for approval. This exchange highlights their collaborative approach to establishing a metrics framework.""",Defining Metrics Population,28:13.980,31:23.164,1693,1883,vi6TBTdOQ3bkW2b7ku6xtvbK,Request,"""Kanishka Rao is asking Bill Landi to take responsibility for deciding on the population to use, which aligns with making a request for action.""",Giving Feedback,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Feedback,https://embed.api.video/vod/vi6TBTdOQ3bkW2b7ku6xtvbK#;t=1693
vi6TBTdOQ3bkW2b7ku6xtvbK_Feedback_4,4,123,125,"""Kanishka and Bill reflect on the challenges of aligning goals within the team, recognizing that a lack of shared understanding has led to misalignment in their objectives. They agree on the importance of defining success criteria collectively.""",Aligning Team Goals,55:38.720,57:50.580,3338,3470,vi6TBTdOQ3bkW2b7ku6xtvbK,Constructive Feedback,"""Bill Landi is providing Kanishka Rao with constructive feedback by discussing the issues of transparency and alignment, suggesting that the main problem lies in goal alignment rather than just transparency, which Kanishka is in a position to consider and respond to.""",Receiving Feedback,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Feedback,https://embed.api.video/vod/vi6TBTdOQ3bkW2b7ku6xtvbK#;t=3338
vi6TBTdOQ3bkW2b7ku6xtvbK_Feedback_5,5,220,222,"""Kanishka expresses concerns about his father's sporadic ownership of projects, indicating a need for more consistent leadership. Bill agrees, noting that while there are areas of improvement, the overall performance is acceptable but not exceptional.""",Addressing Leadership Consistency,01:28:55.622,01:29:30.118,5335,5370,vi6TBTdOQ3bkW2b7ku6xtvbK,Critical Feedback,"""Kanishka Rao is pointing out the lack of ownership and commitment from another individual, indicating problematic behavior in their approach to tasks.""",Giving Feedback,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Feedback,https://embed.api.video/vod/vi6TBTdOQ3bkW2b7ku6xtvbK#;t=5335
vi42vP3lFwcaZP6hH82M5wZE_Feedback_1,1,4,12,"""Soham provides feedback on Kanishka's PMPM model suggestion, emphasizing the need for a minimum contract value to ensure financial stability even if a customer is lost.""",Feedback on PMPM Model,02:40.680,04:40.823,160,280,vi42vP3lFwcaZP6hH82M5wZE,Guidance,"""Soham Shah is providing Kanishka Rao with guidance on setting a minimum contract value and a minimum increase, indicating actionable advice for Kanishka's consideration.""",Receiving Feedback,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Feedback,https://embed.api.video/vod/vi42vP3lFwcaZP6hH82M5wZE#;t=160
vi42vP3lFwcaZP6hH82M5wZE_Feedback_2,2,30,36,"""Soham and Kanishka discuss the applicability of their current solution to COPD, with Soham affirming that the solution is mostly suitable but highlights the differences in readmission challenges.""",Applicability to COPD,11:11.806,12:48.958,671,768,vi42vP3lFwcaZP6hH82M5wZE,Guidance,"""Kanishka Rao is seeking clarification and direction from Scott and Soham regarding the applicability of the solution to COPD, indicating he is looking for their insights to help understand the situation better.""",Receiving Feedback,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Feedback,https://embed.api.video/vod/vi42vP3lFwcaZP6hH82M5wZE#;t=671
vi42vP3lFwcaZP6hH82M5wZE_Feedback_3,3,44,52,"""Soham explains the complexities of smoking cessation in COPD management, indicating that multiple stakeholders are involved in driving the message.""",Smoking Cessation Discussion,14:13.788,16:54.813,853,1014,vi42vP3lFwcaZP6hH82M5wZE,Guidance,"""Kanishka Rao is seeking input and clarification on the COPD dashboard and the importance of smoking cessation, indicating he is looking for guidance and advice from others.""",Receiving Feedback,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Feedback,https://embed.api.video/vod/vi42vP3lFwcaZP6hH82M5wZE#;t=853
vi42vP3lFwcaZP6hH82M5wZE_Feedback_4,4,54,64,"""Kanishka seeks advice on how to approach health systems regarding their asthma solution, and Soham suggests framing it as a broader chronic disease management platform.""",Approach to Health Systems,18:50.286,21:39.713,1130,1299,vi42vP3lFwcaZP6hH82M5wZE,Guidance,"""Soham Shah is providing Kanishka Rao with advice on how to approach potential clients and pitch their solutions, which Kanishka acknowledges and responds positively to.""",Receiving Feedback,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Feedback,https://embed.api.video/vod/vi42vP3lFwcaZP6hH82M5wZE#;t=1130
vi3MC0JsaO4n4cA7cYgYzpb4_Feedback_1,1,12,26,"""Participants discuss their focus for the week, emphasizing the importance of metrics and the need to communicate changes in priorities to external partners.""",Weekly Focus and Priorities,02:26.420,05:50.953,146,350,vi3MC0JsaO4n4cA7cYgYzpb4,Guidance,"""Kanishka Rao suggests getting 30 minutes on the calendar to discuss how to incentivize the two individuals, indicating a proactive approach to guiding the conversation and decision-making process.""",Giving Feedback,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Feedback,https://embed.api.video/vod/vi3MC0JsaO4n4cA7cYgYzpb4#;t=146
vi3MC0JsaO4n4cA7cYgYzpb4_Feedback_2,2,18,30,"""The team deliberates on how to approach external partners regarding project delays and the importance of maintaining relationships while managing expectations.""",Managing External Relationships,04:28.413,06:43.836,268,403,vi3MC0JsaO4n4cA7cYgYzpb4,Guidance,"""Kanishka Rao is providing guidance by suggesting a course of action regarding the urgency of the situation and the need to prioritize it, stating, 'I think it's worth in this conversation mentioning the sense of urgency we have in terms of like, hey, this is our priority because we have capacity this year.'""",Giving Feedback,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Feedback,https://embed.api.video/vod/vi3MC0JsaO4n4cA7cYgYzpb4#;t=268
vi1GPAuvhakg74TUpNoMMUvc_Feedback_1,1,12,12,"""Kanishka outlines the priorities for the month, emphasizing the need for feedback from the team on the proposed priorities and their urgency.""",Monthly Priorities Discussion,05:47.949,05:47.845,347,347,vi1GPAuvhakg74TUpNoMMUvc,Guidance,"""Kanishka Rao is outlining priorities and strategies for the team, suggesting actions to take, such as starting conversations about improving solutions and prioritizing tasks, which aligns with offering advice and direction.""",Giving Feedback,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Feedback,https://embed.api.video/vod/vi1GPAuvhakg74TUpNoMMUvc#;t=347
vi1GPAuvhakg74TUpNoMMUvc_Feedback_2,2,13,19,"""Sriram questions the prioritization of GDMT improvement over SBIR, highlighting the time-sensitive nature of the tasks and the need for clarity on resource allocation.""",Resource Allocation Concerns,07:26.553,09:22.153,446,562,vi1GPAuvhakg74TUpNoMMUvc,Guidance,"""Kanishka Rao acknowledges Sriram's point by stating 'I think it's a great point' and engages in the discussion, providing insight into the time component and long-term payoff, which serves to guide the conversation towards understanding priorities.""",Receiving Feedback,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Feedback,https://embed.api.video/vod/vi1GPAuvhakg74TUpNoMMUvc#;t=446
vi6aqbh5ikJLOYkqOdO7TvN1_Feedback_4,4,91,91,"""Sriram shares his insights on the need for a clear vision and focus, responding to Kanishka's feedback about the company's direction and the importance of anchoring their efforts.""",Vision and Direction Discussion,32:42.016,32:41.832,1962,1961,vi6aqbh5ikJLOYkqOdO7TvN1,Constructive Feedback,"""Kanishka Rao reflects on the chastisement from Bapa, acknowledging the need to focus on a specific vision and recognizing the importance of actionable steps to improve their approach, indicating he is processing constructive feedback.""",Receiving Feedback,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Feedback,https://embed.api.video/vod/vi6aqbh5ikJLOYkqOdO7TvN1#;t=1962
vi6aqbh5ikJLOYkqOdO7TvN1_Feedback_5,5,97,101,"""Kanishka and Sriram discuss the importance of presenting a clear and actionable roadmap to stakeholders, emphasizing the need for immediate deliverables while keeping long-term goals in mind.""",Roadmap and Stakeholder Engagement,41:59.391,42:38.040,2519,2558,vi6aqbh5ikJLOYkqOdO7TvN1,Guidance,"""Kanishka Rao is providing input and direction on the topic being discussed by stating 'Yeah, and I think. If we have that, it's very quickly putting the boxes in there. This is what we're doing.' This indicates he is helping to clarify the approach and next steps.""",Giving Feedback,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Feedback,https://embed.api.video/vod/vi6aqbh5ikJLOYkqOdO7TvN1#;t=2519
vi31gHvd0MMz8FonUstjUyMe_Feedback_3,3,26,29,"""Kanishka raises concerns about the organization's focus on specific diseases driven by pharma, while Bill agrees and emphasizes the need to prioritize areas that align with their vision.""",Focus on Pharma vs. Vision,11:18.783,14:05.076,678,845,vi31gHvd0MMz8FonUstjUyMe,Constructive Feedback,"""Kanishka Rao is receiving constructive feedback from Bill Landi, who expresses concerns about the current strategy and its implications, suggesting that the focus on AstraZeneca may not align with the overall goals of the organization.""",Receiving Feedback,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Feedback,https://embed.api.video/vod/vi31gHvd0MMz8FonUstjUyMe#;t=678
vi18qSrl7wIdeYOKuDg7YQBx_Feedback_1,1,4,5,"""Kareem expresses the need to validate areas where they can assist, emphasizing the importance of Doctor Harvey's input and the need for an interactive session to engage him effectively.""",Engaging Doctor Harvey's Input,07:07.860,08:04.900,427,484,vi18qSrl7wIdeYOKuDg7YQBx,Guidance,"""Kanishka Rao is providing specific suggestions on how to structure the presentation slides, indicating they are offering advice and direction to help improve the presentation strategy.""",Giving Feedback,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Feedback,https://embed.api.video/vod/vi18qSrl7wIdeYOKuDg7YQBx#;t=427
vi18qSrl7wIdeYOKuDg7YQBx_Feedback_2,2,8,10,"""Kareem and Kanishka discuss the necessity of an executive summary for the presentation, with Kanishka advocating for its inclusion to facilitate the conversation.""",Importance of Executive Summary,08:42.386,09:02.826,522,542,vi18qSrl7wIdeYOKuDg7YQBx,Guidance,"""Kanishka Rao is providing guidance by suggesting the need for an executive summary to facilitate the conversation, indicating a direction for the team to follow.""",Giving Feedback,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Feedback,https://embed.api.video/vod/vi18qSrl7wIdeYOKuDg7YQBx#;t=522
vi18qSrl7wIdeYOKuDg7YQBx_Feedback_3,3,11,13,"""Kanishka emphasizes the need for a level-setting slide to clarify their mission and objectives before diving into the agenda, ensuring Doctor Harvey understands their purpose.""",Clarifying Mission and Objectives,09:35.986,10:04.196,575,604,vi18qSrl7wIdeYOKuDg7YQBx,Guidance,"""Kanishka Rao is providing guidance on how to structure the meeting by suggesting a level-setting slide and emphasizing the importance of communicating the mission and purpose, which helps direct the flow of the meeting.""",Giving Feedback,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Feedback,https://embed.api.video/vod/vi18qSrl7wIdeYOKuDg7YQBx#;t=575
vi18qSrl7wIdeYOKuDg7YQBx_Feedback_4,4,17,19,"""Kareem and Kanishka discuss the presentation's content, focusing on the areas they will assist with and the importance of highlighting specific scopes of work.""",Highlighting Scope of Work,12:40.606,13:00.516,760,780,vi18qSrl7wIdeYOKuDg7YQBx,Guidance,"""Kanishka Rao is providing guidance by suggesting a specific action to improve the presentation, stating 'Duplicate the slide and have a second version with the highlighted sort of scope.' This indicates he is offering advice on how to enhance the work.""",Giving Feedback,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Feedback,https://embed.api.video/vod/vi18qSrl7wIdeYOKuDg7YQBx#;t=760
vi18qSrl7wIdeYOKuDg7YQBx_Feedback_5,5,51,53,"""Kanishka and Kareem discuss the need to prepare for potential questions regarding their model's cost and effectiveness, ensuring they are ready to address concerns about their services.""",Preparing for Cost and Effectiveness Questions,18:05.399,18:23.883,1085,1103,vi18qSrl7wIdeYOKuDg7YQBx,Suggestion,"""Kanishka Rao suggests moving a slide ahead in the presentation order, indicating a proposed change without direct criticism.""",Giving Feedback,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Feedback,https://embed.api.video/vod/vi18qSrl7wIdeYOKuDg7YQBx#;t=1085
vi6TBTdOQ3bkW2b7ku6xtvbK_Delegation_2,2,40,44,"""Kanishka expresses a preference to skip a meeting, and Bill agrees, indicating that Kanishka can provide input directly instead.""",Meeting Delegation,21:50.786,22:28.186,1310,1348,vi6TBTdOQ3bkW2b7ku6xtvbK,Receiving Delegation,"""Kanishka Rao is being delegated a task as Bill Landi is asking for Kanishka's input and suggests that Kanishka could handle the meeting without others, indicating a transfer of responsibility.""",Receiving,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Delegation,https://embed.api.video/vod/vi6TBTdOQ3bkW2b7ku6xtvbK#;t=1310
vi6TBTdOQ3bkW2b7ku6xtvbK_Delegation_3,3,65,68,"""Kanishka asks Bill to take point on determining the population for metrics, and Bill agrees to propose a solution for Kanishka's approval.""",Delegating Metrics Responsibility,31:14.914,32:15.470,1874,1935,vi6TBTdOQ3bkW2b7ku6xtvbK,Task Assignment,"""Kanishka Rao is delegating the task of determining the population to use by asking, 'Can you take point on that?' which assigns a specific responsibility.""",Delegating,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Delegation,https://embed.api.video/vod/vi6TBTdOQ3bkW2b7ku6xtvbK#;t=1874
vi6TBTdOQ3bkW2b7ku6xtvbK_Delegation_4,4,111,112,"""Kanishka identifies the need for help in managing various tasks and responsibilities, indicating a desire to delegate some of his workload.""",Seeking Help for Task Management,46:53.020,47:27.009,2813,2847,vi6TBTdOQ3bkW2b7ku6xtvbK,Receiving Delegation,"""Kanishka Rao expresses a need for help on a task, indicating he is receiving assistance or a delegated task from someone else.""",Receiving,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Delegation,https://embed.api.video/vod/vi6TBTdOQ3bkW2b7ku6xtvbK#;t=2813
